"site","day","pfpr_2_10","cases_0_5","cases_5_100","n_0_5","n_5_100","itn_use","n_smc"
"A",237,0.63,145,115,10516,39057,0,0
"A",238,0.63,162,117,10512,39060,0,0
"A",239,0.63,171,111,10514,39058,0,0
"A",240,0.64,153,112,10516,39056,0,0
"A",241,0.65,128,107,10522,39050,0,0
"A",242,0.65,152,119,10518,39054,0,0
"A",243,0.66,163,130,10516,39056,0,0
"A",244,0.66,172,127,10522,39050,0,0
"A",245,0.67,176,130,10526,39046,0,0
"A",246,0.67,188,140,10526,39046,0,0
"A",247,0.68,197,125,10527,39045,0,0
"A",248,0.68,206,139,10533,39039,0,0
"A",249,0.68,211,135,10534,39039,0,0
"A",250,0.69,184,139,10530,39043,0,0
"A",251,0.69,202,127,10529,39044,0,0
"A",252,0.7,189,142,10531,39042,0,0
"A",253,0.7,194,155,10531,39042,0,0
"A",254,0.71,189,155,10525,39048,0,0
"A",255,0.72,229,149,10527,39046,0,0
"A",256,0.72,221,151,10521,39052,0,0
"A",257,0.72,215,146,10514,39060,0,0
"A",258,0.73,208,139,10509,39064,0,0
"A",259,0.73,232,156,10513,39059,0,0
"A",260,0.73,223,180,10509,39063,0,0
"A",261,0.74,217,162,10508,39064,0,0
"A",262,0.74,223,162,10506,39066,0,0
"A",263,0.75,223,154,10505,39067,0,0
"A",264,0.75,207,167,10504,39068,0,0
"A",265,0.75,228,179,10506,39066,0,0
"A",266,0.76,222,170,10507,39065,0,0
"A",267,0.76,214,174,10503,39069,0,0
"A",268,0.76,244,159,10499,39073,0,0
"A",269,0.76,254,140,10500,39072,0,0
"A",270,0.77,225,178,10499,39073,0,0
"A",271,0.76,232,178,10499,39073,0,0
"A",272,0.77,215,171,10495,39077,0,0
"A",273,0.77,236,180,10492,39080,0,0
"A",274,0.77,239,168,10492,39080,0,0
"A",275,0.78,242,166,10494,39078,0,0
"A",276,0.78,262,185,10499,39073,0,0
"A",277,0.78,231,170,10499,39073,0,0
"A",278,0.78,252,179,10498,39074,0,0
"A",279,0.78,258,164,10500,39072,0,0
"A",280,0.78,232,161,10496,39076,0,0
"A",281,0.79,230,207,10496,39076,0,0
"A",282,0.79,253,196,10499,39073,0,0
"A",283,0.79,224,175,10495,39077,0,0
"A",284,0.79,276,193,10492,39081,0,0
"A",285,0.8,224,178,10496,39077,0,0
"A",286,0.8,244,183,10494,39079,0,0
"A",287,0.8,244,152,10499,39074,0,0
"A",288,0.8,233,158,10497,39076,0,0
"A",289,0.8,238,169,10498,39075,0,0
"A",290,0.81,213,170,10497,39076,0,0
"A",291,0.8,220,177,10491,39082,0,0
"A",292,0.81,213,146,10489,39084,0,0
"A",293,0.81,211,157,10488,39085,0,0
"A",294,0.81,231,127,10488,39085,0,0
"A",295,0.81,216,158,10485,39088,0,0
"A",296,0.81,215,143,10485,39088,0,0
"A",297,0.81,216,147,10482,39091,0,0
"A",298,0.81,199,156,10483,39090,0,0
"A",299,0.81,204,148,10485,39088,0,0
"A",300,0.81,195,168,10485,39088,0,0
"A",301,0.82,206,162,10484,39089,0,0
"A",302,0.81,196,135,10482,39091,0,0
"A",303,0.81,217,134,10478,39095,0,0
"A",304,0.81,191,158,10474,39099,0,0
"A",305,0.81,187,152,10470,39103,0,0
"A",306,0.82,218,137,10471,39102,0,0
"A",307,0.81,216,125,10466,39107,0,0
"A",308,0.82,188,126,10463,39111,0,0
"A",309,0.82,170,130,10462,39112,0,0
"A",310,0.82,174,134,10464,39110,0,0
"A",311,0.82,190,147,10459,39115,0,0
"A",312,0.82,170,133,10461,39113,0,0
"A",313,0.81,167,120,10457,39117,0,0
"A",314,0.81,175,112,10459,39115,0,0
"A",315,0.81,166,112,10468,39106,0,0
"A",316,0.81,169,102,10469,39105,0,0
"A",317,0.81,143,100,10472,39102,0,0
"A",318,0.81,128,102,10475,39099,0,0
"A",319,0.81,126,112,10478,39096,0,0
"A",320,0.81,147,99,10475,39099,0,0
"A",321,0.81,134,89,10474,39100,0,0
"A",322,0.81,105,98,10477,39097,0,0
"A",323,0.81,105,86,10473,39101,0,0
"A",324,0.8,134,70,10480,39095,0,0
"A",325,0.8,105,87,10484,39091,0,0
"A",326,0.8,132,86,10483,39092,0,0
"A",327,0.8,92,90,10481,39094,0,0
"A",328,0.8,106,59,10478,39097,0,0
"A",329,0.8,95,53,10474,39101,0,0
"A",330,0.79,94,67,10473,39102,0,0
"A",331,0.79,85,56,10475,39100,0,0
"A",332,0.79,98,57,10478,39097,0,0
"A",333,0.79,74,50,10481,39094,0,0
"A",334,0.79,83,44,10475,39100,0,0
"A",335,0.79,76,40,10477,39097,0,0
"A",336,0.78,56,56,10481,39093,0,0
"A",337,0.78,51,38,10481,39093,0,0
"A",338,0.78,57,43,10479,39095,0,0
"A",339,0.78,52,29,10479,39095,0,0
"A",340,0.77,33,39,10480,39094,0,0
"A",341,0.77,28,32,10478,39096,0,0
"A",342,0.77,48,27,10480,39094,0,0
"A",343,0.77,33,22,10479,39095,0,0
"A",344,0.77,30,30,10480,39094,0,0
"A",345,0.77,34,24,10482,39092,0,0
"A",346,0.76,27,13,10485,39089,0,0
"A",347,0.76,20,17,10490,39083,0,0
"A",348,0.76,28,9,10487,39086,0,0
"A",349,0.75,20,12,10490,39083,0,0
"A",350,0.75,13,18,10490,39083,0,0
"A",351,0.75,20,10,10486,39087,0,0
"A",352,0.75,19,12,10483,39090,0,0
"A",353,0.74,12,9,10488,39085,0,0
"A",354,0.74,13,13,10489,39084,0,0
"A",355,0.74,9,12,10488,39085,0,0
"A",356,0.74,9,7,10485,39088,0,0
"A",357,0.73,8,5,10484,39089,0,0
"A",358,0.73,2,6,10482,39092,0,0
"A",359,0.72,9,6,10479,39095,0,0
"A",360,0.72,9,7,10475,39099,0,0
"A",361,0.72,3,4,10479,39095,0,0
"A",362,0.71,5,1,10481,39093,0,0
"A",363,0.71,7,4,10487,39087,0,0
"A",364,0.71,3,3,10487,39087,0,0
"A",365,0.71,1,1,10481,39093,0,0
"A",366,0.7,3,3,10478,39096,0,0
"A",367,0.7,6,5,10476,39098,0,0
"A",368,0.69,3,0,10475,39098,0,0
"A",369,0.69,2,1,10477,39096,0,0
"A",370,0.69,3,1,10479,39094,0,0
"A",371,0.68,3,1,10480,39093,0,0
"A",372,0.68,3,1,10484,39089,0,0
"A",373,0.68,1,2,10490,39083,0,0
"A",374,0.67,1,1,10493,39080,0,0
"A",375,0.67,2,1,10495,39078,0,0
"A",376,0.67,1,1,10496,39077,0,0
"A",377,0.66,0,0,10495,39078,0,0
"A",378,0.66,2,0,10500,39073,0,0
"A",379,0.66,2,0,10497,39076,0,0
"A",380,0.65,1,0,10496,39077,0,0
"A",381,0.65,1,2,10495,39078,0,0
"A",382,0.65,0,0,10492,39081,0,0
"A",383,0.64,1,0,10497,39076,0,0
"A",384,0.64,0,0,10500,39073,0,0
"A",385,0.64,0,0,10502,39071,0,0
"A",386,0.63,0,0,10497,39076,0,0
"A",387,0.63,0,1,10497,39076,0,0
"A",388,0.63,0,0,10496,39077,0,0
"A",389,0.63,0,0,10497,39076,0,0
"A",390,0.62,0,0,10497,39076,0,0
"A",391,0.62,0,0,10497,39076,0,0
"A",392,0.61,0,0,10489,39084,0,0
"A",393,0.61,0,0,10488,39085,0,0
"A",394,0.61,0,0,10489,39084,0,0
"A",395,0.6,0,0,10485,39088,0,0
"A",396,0.6,1,0,10482,39091,0,0
"A",397,0.6,1,0,10484,39089,0,0
"A",398,0.6,0,0,10486,39087,0,0
"A",399,0.59,0,0,10486,39087,0,0
"A",400,0.59,1,0,10488,39086,0,0
"A",401,0.59,0,1,10488,39086,0,0
"A",402,0.59,0,0,10482,39091,0,0
"A",403,0.58,4,1,10486,39087,0,0
"A",404,0.58,0,1,10490,39083,0,0
"A",405,0.58,2,0,10497,39075,0,0
"A",406,0.57,1,1,10497,39075,0,0
"A",407,0.57,4,2,10494,39078,0,0
"A",408,0.57,4,1,10496,39076,0,0
"A",409,0.57,3,0,10500,39072,0,0
"A",410,0.56,2,5,10496,39076,0,0
"A",411,0.56,6,2,10497,39075,0,0
"A",412,0.56,2,5,10495,39077,0,0
"A",413,0.56,5,2,10492,39080,0,0
"A",414,0.55,4,5,10493,39079,0,0
"A",415,0.55,5,6,10496,39076,0,0
"A",416,0.55,6,1,10494,39078,0,0
"A",417,0.55,5,6,10490,39082,0,0
"A",418,0.55,4,6,10488,39084,0,0
"A",419,0.55,8,3,10492,39080,0,0
"A",420,0.54,9,9,10498,39074,0,0
"A",421,0.54,12,4,10489,39083,0,0
"A",422,0.54,14,9,10492,39080,0,0
"A",423,0.54,11,13,10497,39075,0,0
"A",424,0.54,9,6,10502,39070,0,0
"A",425,0.54,6,7,10498,39074,0,0
"A",426,0.54,15,7,10498,39074,0,0
"A",427,0.53,15,7,10503,39069,0,0
"A",428,0.53,21,6,10504,39068,0,0
"A",429,0.53,12,9,10509,39063,0,0
"A",430,0.53,21,7,10510,39062,0,0
"A",431,0.53,16,10,10506,39066,0,0
"A",432,0.53,10,3,10506,39066,0,0
"A",433,0.53,16,6,10506,39066,0,0
"A",434,0.53,14,11,10505,39067,0,0
"A",435,0.52,12,15,10505,39067,0,0
"A",436,0.52,12,4,10507,39065,0,0
"A",437,0.52,21,10,10508,39064,0,0
"A",438,0.53,9,10,10508,39064,0,0
"A",439,0.52,18,5,10510,39062,0,0
"A",440,0.52,21,12,10512,39060,0,0
"A",441,0.52,17,10,10510,39062,0,0
"A",442,0.52,14,5,10507,39065,0,0
"A",443,0.52,14,10,10506,39066,0,0
"A",444,0.51,16,6,10505,39068,0,0
"A",445,0.51,9,11,10509,39064,0,0
"A",446,0.51,7,9,10503,39070,0,0
"A",447,0.51,9,7,10504,39069,0,0
"A",448,0.51,11,5,10506,39067,0,0
"A",449,0.51,8,5,10511,39062,0,0
"A",450,0.51,13,6,10505,39068,0,0
"A",451,0.51,2,4,10508,39065,0,0
"A",452,0.51,6,6,10507,39065,0,0
"A",453,0.5,12,4,10505,39067,0,0
"A",454,0.5,10,4,10504,39068,0,0
"A",455,0.5,4,5,10503,39069,0,0
"A",456,0.5,3,4,10507,39065,0,0
"A",457,0.5,10,3,10503,39069,0,0
"A",458,0.5,2,1,10503,39069,0,0
"A",459,0.49,7,5,10505,39067,0,0
"A",460,0.49,5,0,10506,39066,0,0
"A",461,0.49,1,1,10502,39070,0,0
"A",462,0.49,5,2,10503,39070,0,0
"A",463,0.48,2,4,10503,39070,0,0
"A",464,0.48,2,0,10502,39070,0,0
"A",465,0.48,2,0,10504,39068,0,0
"A",466,0.48,1,2,10508,39064,0,0
"A",467,0.47,5,1,10511,39061,0,0
"A",468,0.47,3,3,10517,39055,0,0
"A",469,0.47,1,2,10523,39049,0,0
"A",470,0.47,2,0,10525,39047,0,0
"A",471,0.47,2,0,10535,39037,0,0
"A",472,0.47,2,1,10533,39039,0,0
"A",473,0.47,0,3,10535,39037,0,0
"A",474,0.46,3,2,10541,39031,0,0
"A",475,0.46,2,2,10540,39032,0,0
"A",476,0.46,0,1,10543,39028,0,0
"A",477,0.46,0,0,10546,39025,0,0
"A",478,0.45,0,1,10545,39026,0,0
"A",479,0.45,2,0,10544,39027,0,0
"A",480,0.45,1,1,10544,39027,0,0
"A",481,0.45,0,1,10543,39028,0,0
"A",482,0.44,0,0,10543,39028,0,0
"A",483,0.44,0,0,10543,39028,0,0
"A",484,0.44,0,1,10540,39031,0,0
"A",485,0.44,0,0,10539,39032,0,0
"A",486,0.44,1,0,10540,39031,0,0
"A",487,0.44,0,1,10540,39031,0,0
"A",488,0.44,0,0,10543,39028,0,0
"A",489,0.43,0,0,10541,39030,0,0
"A",490,0.43,0,0,10547,39025,0,0
"A",491,0.43,0,0,10539,39033,0,0
"A",492,0.43,0,0,10538,39034,0,0
"A",493,0.42,0,0,10541,39031,0,0
"A",494,0.42,0,0,10544,39029,0,0
"A",495,0.42,0,0,10541,39032,0,0
"A",496,0.42,0,0,10539,39034,0,0
"A",497,0.42,0,0,10545,39028,0,0
"A",498,0.41,1,0,10545,39028,0,0
"A",499,0.41,0,1,10545,39029,0,0
"A",500,0.41,0,0,10545,39029,0,0
"A",501,0.41,1,0,10546,39027,0,0
"A",502,0.4,0,0,10546,39027,0,0
"A",503,0.4,3,1,10543,39029,0,0
"A",504,0.4,0,0,10541,39031,0,0
"A",505,0.4,1,0,10548,39024,0,0
"A",506,0.4,0,1,10551,39021,0,0
"A",507,0.4,3,2,10559,39013,0,0
"A",508,0.4,3,2,10562,39010,0,0
"A",509,0.39,4,4,10558,39014,0,0
"A",510,0.39,4,7,10560,39012,0,0
"A",511,0.39,2,3,10555,39017,0,0
"A",512,0.39,4,2,10556,39016,0,0
"A",513,0.39,8,1,10550,39022,0,0
"A",514,0.39,4,1,10559,39013,0,0
"A",515,0.39,7,0,10559,39013,0,0
"A",516,0.39,7,4,10559,39013,0,0
"A",517,0.38,6,4,10556,39016,0,0
"A",518,0.38,8,9,10550,39022,0,0
"A",519,0.38,8,2,10556,39016,0,0
"A",520,0.38,12,7,10551,39021,0,0
"A",521,0.38,11,7,10556,39016,0,0
"A",522,0.38,13,8,10555,39017,0,0
"A",523,0.38,9,7,10555,39017,0,0
"A",524,0.38,11,11,10559,39014,0,0
"A",525,0.38,10,7,10553,39020,0,0
"A",526,0.38,13,5,10556,39017,0,0
"A",527,0.38,14,5,10552,39021,0,0
"A",528,0.38,20,14,10556,39017,0,0
"A",529,0.38,14,7,10551,39022,0,0
"A",530,0.38,13,8,10549,39024,0,0
"A",531,0.38,19,10,10546,39027,0,0
"A",532,0.38,17,16,10545,39029,0,0
"A",533,0.38,23,15,10543,39030,0,0
"A",534,0.38,19,14,10548,39025,0,0
"A",535,0.38,13,13,10549,39024,0,0
"A",536,0.38,18,15,10550,39023,0,0
"A",537,0.38,22,7,10549,39024,0,0
"A",538,0.39,27,16,10546,39027,0,0
"A",539,0.39,28,14,10548,39025,0,0
"A",540,0.39,24,13,10548,39025,0,0
"A",541,0.39,18,10,10550,39023,0,0
"A",542,0.39,22,19,10549,39024,0,0
"A",543,0.39,28,13,10546,39027,0,0
"A",544,0.39,27,19,10545,39028,0,0
"A",545,0.39,24,20,10551,39022,0,0
"A",546,0.39,34,18,10550,39023,0,0
"A",547,0.4,24,20,10558,39015,0,0
"A",548,0.4,34,21,10559,39014,0,0
"A",549,0.4,29,22,10558,39015,0,0
"A",550,0.41,29,24,10557,39016,0,0
"A",551,0.41,35,16,10562,39012,0,0
"A",552,0.41,48,27,10565,39009,0,0
"A",553,0.41,28,21,10565,39009,0,0
"A",554,0.41,27,23,10570,39004,0,0
"A",555,0.41,48,28,10574,39000,0,0
"A",556,0.42,33,20,10571,39003,0,0
"A",557,0.42,32,24,10574,39000,0,0
"A",558,0.42,42,18,10573,39001,0,0
"A",559,0.42,57,18,10564,39010,0,0
"A",560,0.43,43,26,10563,39011,0,0
"A",561,0.43,51,29,10565,39008,0,0
"A",562,0.43,54,36,10570,39003,0,0
"A",563,0.43,51,32,10570,39003,0,0
"A",564,0.44,67,31,10573,39000,0,0
"A",565,0.44,52,52,10576,38997,0,0
"A",566,0.45,57,18,10583,38990,0,0
"A",567,0.45,65,39,10589,38984,0,0
"A",568,0.46,55,39,10585,38988,0,0
"A",569,0.46,56,45,10584,38989,0,0
"A",570,0.46,72,29,10586,38987,0,0
"A",571,0.47,62,34,10584,38989,0,0
"A",572,0.47,75,55,10579,38994,0,0
"A",573,0.48,71,43,10576,38997,0,0
"A",574,0.48,63,40,10573,39000,0,0
"A",575,0.49,81,46,10568,39005,0,0
"A",576,0.49,84,47,10571,39001,0,0
"A",577,0.49,76,59,10571,39000,0,0
"A",578,0.5,87,66,10573,38998,0,0
"A",579,0.5,74,57,10577,38993,0,0
"A",580,0.51,88,67,10574,38997,0,0
"A",581,0.51,88,48,10572,38999,0,0
"A",582,0.51,91,68,10573,38998,0,0
"A",583,0.52,87,46,10580,38991,0,0
"A",584,0.52,108,66,10580,38991,0,0
"A",585,0.53,110,60,10580,38991,0,0
"A",586,0.54,104,78,10586,38985,0,0
"A",587,0.54,104,82,10579,38992,0,0
"A",588,0.55,111,58,10582,38990,0,0
"A",589,0.55,117,87,10581,38991,0,0
"A",590,0.56,127,78,10583,38989,0,0
"A",591,0.56,122,84,10580,38992,0,0
"A",592,0.57,120,85,10584,38988,0,0
"A",593,0.57,146,90,10579,38993,0,0
"A",594,0.58,135,81,10579,38993,0,0
"A",595,0.58,147,90,10578,38994,0,0
"A",596,0.59,127,96,10580,38992,0,0
"A",597,0.59,146,81,10582,38990,0,0
"A",598,0.6,151,107,10585,38987,0,0
"A",599,0.6,149,100,10585,38987,0,0
"A",600,0.61,149,102,10581,38991,0,0
"A",601,0.61,169,114,10579,38992,0,0
"A",602,0.62,154,99,10580,38991,0,0
"A",603,0.62,155,99,10581,38990,0,0
"A",604,0.63,160,117,10582,38989,0,0
